paper_id	0	1	2	3	4	5	6	7	8	decision
kRvZ2PcsxjJj	1.0	1.0	1.0	1.0						Unknown
RUzSobdYy0V	5.0	6.0	8.0							Unknown
N3kGYG3ZcTi	3.0	5.0	3.0	1.0						Unknown
tmIiMPl4IPa	8.0	6.0	3.0	8.0	3.0					Unknown
mhnHqRqcjYU	8.0	6.0	6.0							Unknown
sZI1Oj9KBKy	8.0	6.0	5.0	3.0						Unknown
I3HCE7Ro78H	6.0	6.0	8.0	6.0						Unknown
9Zx6tTcX0SE	3.0	6.0	3.0	8.0						Unknown
6iEoTr-jeB7	5.0	8.0	6.0							Unknown
Vx6G9W5M4sQ	3.0	5.0	5.0							Unknown
vzdrgR2nomD	8.0	3.0	8.0	8.0	3.0					Unknown
NOKUQ9JMohJ	5.0	6.0	5.0	5.0						Unknown
91efl6aSU2d	6.0	5.0	3.0							Unknown
KNL8KSH7b_F	5.0	5.0	6.0							Unknown
IQM-3_Tzldw	3.0	5.0	3.0	6.0						Unknown
pGR2gNO5c4p	5.0	3.0	5.0	6.0						Unknown
s6l6ks1iooc	3.0	5.0	5.0	3.0						Unknown
3uDXZZLBAwd	5.0	3.0	5.0							Unknown
QN_VgTeOYGl	3.0	3.0	6.0							Unknown
TZG_XsO4x6y	6.0	5.0	3.0	3.0						Unknown
yqe0BZeN_xH	6.0	3.0	5.0	1.0						Unknown
HTJE5Krui0g	10.0	8.0	5.0	5.0						Unknown
7YfHla7IxBJ	5.0	8.0	5.0							Unknown
N_g8TT9Cy7f	6.0	8.0	6.0	6.0						Unknown
gZYbGIpFYpA	5.0	3.0	3.0							Unknown
Xj9V-stmIcO	5.0	5.0	5.0							Unknown
BO5_Lm7iD_	8.0	3.0	5.0	8.0						Unknown
jREF4bkfi_S	6.0	5.0	3.0							Unknown
Jdj0fZhswJC	3.0	5.0	8.0							Unknown
Rn50hCOX9XX	1.0	5.0	3.0	8.0						Unknown
eGWEfaW-5Yt	5.0	5.0	5.0							Unknown
pWVASryOyFw	6.0	5.0	8.0							Unknown
0OlEBibFa_g	5.0	1.0	3.0	3.0						Unknown
1Wo0vqaZ8WJ	6.0	6.0	5.0	5.0						Unknown
MjikLUwiB3M	5.0	3.0	6.0	3.0						Unknown
UPQualDj1oo	1.0	5.0	5.0	3.0						Unknown
9D5FH6LFbRu	3.0	5.0	6.0							Unknown
a-bD9-0ycs0	6.0	5.0	3.0	5.0						Unknown
ULzyv9M1j5	8.0	6.0	6.0							Unknown
hChYEyebNm1	6.0	5.0	3.0	3.0						Unknown
pgJp7rDc_hk	3.0	5.0	5.0							Unknown
EgJ0PbRPkCW	3.0	3.0	3.0							Unknown
0z_cXcu1N6o	5.0	3.0	3.0	3.0						Unknown
cZM4iZmxzR7	5.0	5.0	6.0							Unknown
gNI4_85Cyve										Unknown
1FsdIfRngtw	5.0	3.0	3.0	3.0						Unknown
zygzt8QFsV	1.0	1.0	1.0	3.0						Unknown
pW_jGk1D_Ww	6.0	5.0	3.0	6.0						Unknown
gHwpv9pSEP2	3.0	6.0	5.0	3.0						Unknown
tORS9qGBNpT	6.0	3.0	8.0							Unknown
17RDXeF-skZ	6.0	5.0	5.0							Unknown
ejR4E1jaH9k	8.0	6.0	5.0	6.0						Unknown
8Ygoj2IeXfW	3.0	3.0	6.0	5.0						Unknown
wSysC6I_S0z	5.0	3.0	3.0							Unknown
dNmkN_z72P4	5.0	3.0	3.0	3.0						Unknown
8XfHh4XSQ0Q	6.0	5.0	8.0	3.0						Unknown
r9fX833CsuN	6.0	8.0	6.0							Unknown
AqX3oSbzyQ1	3.0	5.0	3.0	3.0						Unknown
tPKKXeW33YU	8.0	5.0	6.0	6.0						Unknown
HGsoe1wmRW5	3.0	5.0	3.0							Unknown
